identificador,CCID,Data / Entrega,Requisição,Cliente,Local de Entrega,Modelo,SLA de Inserção,SLA de Viagem,SLA de retirada,SLA / Envio ao Brasil,SLA da Operação,Data / Inserção,Data / Chegada no Destino,Data / Retirada,Data / Envio ao Brasil,Data / Brasil,BL,Container,Status / Operação,Reposição,Observação,latitude,longitude
791254,,2024-10-09,,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,0.0,93,0,14.0,,2024-10-09,2025-01-10,2025-01-10,2025-01-24,,,,Em reversa para o Brasil,Fora do Prazo,,,
791256,,2024-11-25,,Cooxupe,Guaxupe/SP,Tetis Dry,10.0,,,,,2024-12-05,,,,,,,Em viagem,Dentro do Prazo,,,
791257,,2024-11-18,,Volcafe,Varginha/MG,Tetis Dry,0.0,51,2,14.0,,2024-11-18,2025-01-08,2025-01-10,2025-01-24,,,,Em reversa para o Brasil,Dentro do Prazo,,,
791258,,2024-11-07,,VelosoGreen,Carmo do Paranaiba/MG,Tetis Dry,0.0,,,,,2024-11-07,,,,,,,Em viagem,Fora do Prazo,,,
791259,,,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,,,,,,,,Extraviado,Fora do Prazo,,,
791260,,2024-12-02,,Volcafe,Varginha/MG,Tetis Dry,21.0,,,,,2024-12-23,,,,,,,Em viagem,Dentro do Prazo,,,
791262,,2024-07-30,,Nkg,Varginha/MG,Tetis Dry,0.0,106,0,,,2024-07-30,2024-11-13,2024-11-13,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791263,,,,VelosoGreen,Carmo do Paranaiba/MG,Tetis Dry,0.0,,,,,,,,,,,,Extraviado,Fora do Prazo,,,
791264,,2024-10-07,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,50,2,,,2024-10-07,2024-11-26,2024-11-28,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791265,,2024-09-20,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,,,,,2024-09-20,,,,,,,Em viagem,Fora do Prazo,,,
791266,,2024-07-31,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,2024-07-31,,,,,,,Em viagem,Fora do Prazo,,,
791267,,2024-08-27,,Nkg,Varginha/MG,Tetis Dry,0.0,62,3,,,2024-08-27,2024-10-28,2024-10-31,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791268,,2024-11-26,,BourbonCoffe,Poços de Caldas/MG,Tetis Dry,0.0,,,,,2024-11-26,,,,,,,Em viagem,Dentro do Prazo,,,
791269,,2024-06-21,,VelosoGreen,Carmo do Paranaiba/MG,Tetis Dry,0.0,47,0,,,2024-06-21,2024-08-07,2024-08-07,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791271,,2024-12-02,,Nkg,Varginha/MG,Tetis Dry,46.0,,,,,2025-01-17,,,,,,,Em viagem,Dentro do Prazo,,,
791274,,2024-10-07,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,,,,,2024-10-07,,,,,,,Em viagem,Fora do Prazo,,,
791278,,2024-10-09,,Nkg,Varginha/MG,Tetis Dry,0.0,51,3,,,2024-10-09,2024-11-29,2024-12-02,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
